platform,movie_name,genre,imdb_rating,release_year
Netflix,Cold Mountain,Drama,6.256798623063683,2003
Netflix,Crocodile Dundee in Los Angeles,Action,4.8,2001
Netflix,Dear John,Drama,6.3,2010
Netflix,Do the Right Thing,Classic Movies,6.256798623063683,1989
Netflix,"El patrón, radiografía de un crimen",Drama,6.256798623063683,2014
Netflix,Extraction,Action,6.8,2015
Netflix,Freedom Writers,Drama,7.5,2007
Netflix,Green Lantern,Action,6.256798623063683,2011
Netflix,House Party,Comedy,6.256798623063683,1990
Netflix,House Party 2,Comedy,6.256798623063683,1991
Netflix,House Party 3,Comedy,6.256798623063683,1994
Netflix,How to Be a Cowboy,Reality TV,6.256798623063683,2021
Netflix,HQ Barbers,TV Shows,6.256798623063683,2020
Netflix,I Got the Hook Up,Action,6.256798623063683,1998
Netflix,In Too Deep,Thriller,6.256798623063683,1999
Netflix,Initial D,Action,6.4,2005
Netflix,Janoskians: Untold and Untrue,Comedy,6.256798623063683,2016
Netflix,Kid-E-Cats,Kids' TV,6.256798623063683,2016
Netflix,Kuroko's Basketball,Anime Series,6.256798623063683,2015
Netflix,Labyrinth,Action,6.256798623063683,1986
Netflix,Letters to Juliet,Comedy,6.256798623063683,2010
Netflix,Level 16,Sci-Fi,6.256798623063683,2018
Netflix,Love Don't Cost a Thing,Comedy,6.256798623063683,2003
Netflix,Love in a Puff,Comedy,7.2,2010
Netflix,Major Dad,TV Comedies,6.256798623063683,1992
Netflix,Mars Attacks!,Comedy,6.256798623063683,1996
Netflix,Marshall,Drama,7.2,2017
Netflix,My Boss's Daughter,Comedy,4.7,2003
Netflix,Mystery Men,Action,6.256798623063683,1999
Netflix,Oldsters,Crime TV Shows,6.256798623063683,2019
Netflix,Once Upon a Time in America,Classic Movies,6.256798623063683,1984
Netflix,Open Season 2,Kids & Family,6.256798623063683,2008
Netflix,Osmosis Jones,Action,6.256798623063683,2001
Netflix,Poseidon,Action,6.256798623063683,2006
Netflix,Rhyme & Reason,Documentary,6.256798623063683,1997
Netflix,Same Kind of Different as Me,Drama,6.6,2017
Netflix,School of Rock,Comedy,6.256798623063683,2003
Netflix,Snervous Tyler Oakley,Documentary,6.256798623063683,2015
Netflix,Tears of the Sun,Action,6.256798623063683,2003
Netflix,The Blue Lagoon,Drama,6.256798623063683,1980
Netflix,The Golden Child,Action,6.0,1986
Netflix,The Guns of Navarone,Action,6.256798623063683,1961
Netflix,The Interview,Action,6.5,2014
Netflix,The Nutty Professor,Comedy,6.7,1996
Netflix,The Nutty Professor II: The Klumps,Comedy,6.256798623063683,2000
Netflix,Turning Point: 9/11 and the War on Terror,Docuseries,6.256798623063683,2021
Netflix,Welcome Home Roscoe Jenkins,Comedy,6.256798623063683,2008
Netflix,In the Line of Fire,Action,6.256798623063683,1993
Netflix,Sparking Joy,Reality TV,6.256798623063683,2021
Netflix,Untold: Crime & Penalties,Documentary,6.256798623063683,2021
Netflix,Hometown Cha-Cha-Cha,International TV Shows,6.256798623063683,2021
Netflix,The Ingenuity of the Househusband,International TV Shows,6.256798623063683,2021
Netflix,2 Alone in Paris,Comedy,6.256798623063683,2008
Netflix,Bread Barbershop,Kids' TV,6.256798623063683,2020
Netflix,Thimmarusu,Drama,6.256798623063683,2021
Netflix,Wind River,Drama,6.256798623063683,2017
Netflix,C Kkompany,Action,5.4,2008
Netflix,D.P.,International TV Shows,6.256798623063683,2021
Netflix,Deadly Sins,International TV Shows,6.256798623063683,2002
Netflix,EMI: Liya Hai To Chukana Padega,Comedy,6.256798623063683,2008
Netflix,He's All That,Comedy,6.256798623063683,2021
Netflix,I Heart Arlo,Kids' TV,6.256798623063683,2021
Netflix,King of Boys: The Return of the King,Crime TV Shows,6.256798623063683,2021
Netflix,Koi Aap Sa,Comedy,5.4,2006
Netflix,Krishna Cottage,Action,5.1,2004
Netflix,Kucch To Hai,Drama,6.256798623063683,2003
Netflix,Kyaa Kool Hai Hum,Comedy,6.1,2005
Netflix,Kyaa Kool Hain Hum 3,Comedy,6.256798623063683,2016
Netflix,Kyaa Super Kool Hain Hum,Comedy,6.256798623063683,2012
Netflix,Kyo Kii... Main Jhuth Nahin Bolta,Comedy,5.3,2001
Netflix,"LSD: Love, Sex Aur Dhokha",Drama,6.256798623063683,2010
Netflix,Mission Istaanbul: Darr Ke Aagey Jeet Hai,Action,6.256798623063683,2008
Netflix,Once Upon a Time in Mumbaai,Drama,7.4,2010
Netflix,Once Upon a Time in Mumbai Dobaara!,Drama,6.256798623063683,2013
Netflix,Ragini MMS,Horror,4.9,2011
Netflix,Ragini MMS 2,Horror,3.9,2014
Netflix,Rebellion,International TV Shows,6.256798623063683,2016
Netflix,RIDE ON TIME,Docuseries,6.256798623063683,2021
Netflix,SAS: Rise of the Black Swan,Action,6.256798623063683,2021
Netflix,Shootout at Lokhandwala,Action,7.1,2007
Netflix,Shor In the City,Comedy,6.256798623063683,2011
Netflix,The Dirty Picture,Comedy,6.256798623063683,2011
Netflix,Titletown High,Reality TV,6.256798623063683,2021
Netflix,EDENS ZERO,Anime Series,6.256798623063683,2021
Netflix,Family Reunion,Kids' TV,6.256798623063683,2021
Netflix,"Bob Ross: Happy Accidents, Betrayal & Greed",Documentary,6.256798623063683,2021
Netflix,Clickbait,Crime TV Shows,6.256798623063683,2021
Netflix,John of God: The Crimes of a Spiritual Healer,Crime TV Shows,6.256798623063683,2021
Netflix,Motel Makeover,International TV Shows,6.256798623063683,2021
Netflix,Open Your Eyes,International TV Shows,6.256798623063683,2021
Netflix,Post Mortem: No One Dies in Skarnes,International TV Shows,6.256798623063683,2021
Netflix,Really Love,Drama,6.256798623063683,2020
Netflix,The November Man,Action,6.256798623063683,2014
Netflix,The Old Ways,Horror,6.256798623063683,2020
Netflix,The River Runner,Documentary,6.256798623063683,2021
Netflix,The Water Man,Kids & Family,6.256798623063683,2021
Netflix,Wheel of Fortune,Reality TV,6.256798623063683,2019
Netflix,Count Me In,Documentary,6.256798623063683,2021
Netflix,Oggy Oggy,Kids' TV,6.256798623063683,2021
Netflix,Untold: Caitlyn Jenner,Documentary,6.256798623063683,2021
